,text,label
21,Can a housing community dismiss an administrator manager without the consent of the management board? Can only a member of the management board sign the notice of termination of the contract for the old administrator manager and the new contract with the new administrator manager?,civil law
22,"Taking into account the presented facts, does the development of an existing fence with another fence require the consent of the housing community? If the answer is yes, what form should the consent be given? Does expressing the said consent require a resolution of the owners of the premises?",civil law
23,"Is a person selling an apartment in a housing community obliged to inform the potential buyer of the apartment about the community's debt? Does the building manager, when issuing the seller with a certificate of no arrears with advance payments to the community, should write in such a certificate that the community has debts or is the new owner of an apartment in such a housing community obliged to pay any costs that arose when he was not yet a member of the community",civil law
24,"Can the administrator, in accordance with the provisions of the GDPR, provide a member of the management board with statements from the community's bank accounts containing the bank account numbers, name and surname and residential addresses of individual members of the housing community?",administrative law
25,Is the company contacted by the client reliable? What can the client do to protect his personal data provided in the message?,administrative law
26,"Due to the need to make a geodetic division, does a resolution in this respect have to be adopted by the owners in accordance with the Real Estate Management Act? Is a majority of votes enough? Is there any other steps that need to be taken in addition to the notarial change in the amount of shares?",civil law
27,Is the owner of a commercial premises where there is no heater obliged to contribute to the costs of heating the common property?,civil law
28,whether the community is obliged to replace the radiator in the premises in question,civil law
29,"whether the claim for expenditure incurred on the property in the years has expired whether, when valuing the property, the appraiser will take into account the expenses incurred for renovation, agricultural land on which self-seeded trees grow, a demolished barn with an area of ​​100,000 m, how the property will be valued",civil law
30,"whether claims for reimbursement of expenditure for renovation and construction works carried out during the period expire with a period of or years what is the summer periodic limitation period and when does it apply whether renovation and construction works carried out during the period which are time-barred for a period of years affect the value of the property today when it will be estimated by property appraiser If the father's brother does not have any bills for renovation and construction works performed in the period, on what basis will the property appraiser estimate their value and labor costs related to the performance of these renovation and construction works? If the father's brother does not have bills for renovation and construction works performed in the years, then on what basis will he their estimated value how a real estate appraiser will estimate the value of a barn and a barn which was demolished at the end of the years by my father's brother how an appraiser will estimate the value of an Ursus tractor, a horse-drawn cart, a horse and agricultural machinery that remained after the parents' death and my father's brother, Michał, sold everything at the end of the years",civil law
31,"whether the father's brother had to have a permit from the co-owner's father for construction works, whether the father's brother had to have a permit from the construction supervision inspector and the architect for construction works carried out in limitation period regarding the above-mentioned construction works, what legal consequences await the father's brother, if the father's consent was required for the construction works performed in",administrative law
32,Is there a loan for people opening a new beauty salon that is partially reduced when the salon continues to prosper? Is there EU aid for opening a beauty salon?,administrative law
33,"Can the client's father, as a co-owner of the property, apply to the court to establish a land and mortgage register? If the answer to the first question is positive, will the land and mortgage register cover only part or the entire property? What are the benefits of establishing a land and mortgage register? Is it currently possible to establish a land and mortgage register when none of the plots are allocated to a specific person",civil law
34,what is the issue of reimbursing lost income or earnings?,civil law
35,Is it prohibited to fill a prescription for psychotropic drugs from the IVP group with a fill date different from the date of issue?,pharmaceutical law
36,whether the client is entitled to a salary supplement due to the suspicion of an occupational disease,labor law
37,whether a psychiatric trainee is authorized to go for walks with patients outside the hospital premises,medical law
38,"Is it possible to start a business in a property intended for residential purposes? In such a case, the indicated property should be divided into two parts - a part intended for residential purposes and a part intended for business purposes. Will the client be able to start adaptation works in the basement part of the house only if when he will be its sole owner",administrative law
39,"Can the chairman of the regional board of a nationwide trade union of doctors authorize a member of the regional board to participate in a meeting of the national board, who also serves on the national audit committee?",labor law
40,how a client can avoid inheriting the debts of his deceased grandfather,civil law
41,Can a doctor be employed in a hospital on the basis of an employment contract for a trial period if she was previously employed here as a resident until the end of the year,labor law
42,how can the client collect overdue remuneration from the employer? can the client terminate the employment contract without notice due to the employer's fault due to failure to pay the overdue remuneration?,labor law
43,"should the housing cooperative also send correspondence to the address of the apartment occupied by the husband of the lady who has cooperative ownership rights to this residential premises? If the answer to the first question is negative, how can adults living in the premises but who are not owners know the amount of fees to pay to the cooperative?",civil law
44,whether a housing community can be located on two separate plots of land,civil law
45,whether ventilation is a common part of the property,administrative law
46,what should be done to be able to sell the garage that is part of the inheritance,civil law
47,Will the brother be able to make any claims in relation to the property that the daughter received from her parents as a gift?,civil law
48,what the institution of compulsory share looks like,civil law
49,Can a pharmacist work in a hospital ward?,medical law
50,Can an employer punish an employee twice for the same offense?,labor law
51,how to prepare a will,civil law
52,In what situations does a doctor have the right to refuse to admit a patient? Does a doctor have the right to refuse to issue a sick leave certificate?,medical law
53,Is it possible to be a pharmacy department manager and a pharmacy manager in two different places?,pharmaceutical law
54,Is it permissible for a patient to fill the second part of a prescription for days a few days after he has already filled the first part for days?,pharmaceutical law
55,Can a person prove that he or she is unemployed despite running his or her own business?,labor law
56,what the client should do in the presented circumstances,medical law
57,"whether a person who has been running his or her own business continuously for a period of months can be treated as an unemployed person, whether the termination of business activity by the person mentioned above will enable him or her to obtain the status of an unemployed person, whether the fact of taking antidepressants is important in the context of obtaining the status of an unemployed person",labor law
58,what can the client do to be able to pay alimony in the amount provided for in the new judgment,civil law
59,what is the issue of the obligation to maintain medical confidentiality by a doctor summoned to be examined as a witness in civil proceedings,medical law
60,whether the client must appear at the hearing as a witness,civil law
61,whether the client is entitled to a compulsory share,civil law
62,how a client can announce the start of a business without violating the advertising ban applicable to doctors,criminal law
63,whether a doctor employed under an employment contract in a hospital to which the employer has granted unpaid leave has the possibility of concluding a civil law contract for the provision of services with the same hospital in order to provide services identical to those he provided under the employment contract,labor law
64,who can sign an agreement with a member of the management board on behalf of the limited liability company? Should the signing of an agreement with a member of the management board be preceded by a resolution of the shareholders? Whether the remuneration received by a member of the management board under the appointment relationship and under the employment contract can be settled together,labor law
65,what should be done in the circumstances presented,medical law
66,Is the period of postgraduate internship included in the length of service on the basis of which the notice period for terminating an employment contract is calculated? What notice period is the client entitled to?,labor law
67,what actions can be taken to force the owner or tenants of the premises to comply with the rules of social coexistence,civil law
68,whether the client's wife can work part-time per day with a reduced weekly quota,labor law
69,Is it legal to conclude a civil law contract with an employer regarding the same scope of tasks as an employment contract by a person on maternity leave?,labor law
70,for what period a telephone constituting evidence in criminal proceedings may be retained,criminal law
71,Is it possible to effectively shorten the notice period of the employment contract unilaterally by the client from three to one month?,labor law
72,whether a client working in an equivalent working time system is entitled to an allowance for working on weekends,labor law
73,what is the procedure for transforming a residential premises into a commercial premises?,administrative law
74,Is it possible to transfer medical documentation to another entity in the event of assignment of a National Health Fund contract?,medical law
75,where the customer could report the employer's actions,labor law
76,whether the client can independently describe and approve X-ray and computed tomography examinations without the supervision of a specialist,medical law
77,Is it possible to sell a pharmacy point run as a sole proprietorship and transfer the permit to run a pharmacy point?,pharmaceutical law
78,whether the client is entitled to protection against dismissal in accordance with the actual situation,labor law
79,whether a pharmacist employed in a hospital pharmacy can examine the procedures for administering drugs to patients in the ward,pharmaceutical law
80,Can a pharmacy sell over-the-counter drugs to commercial and service companies?,pharmaceutical law
81,can the supervisory board submit a report on committing a crime? is a resolution of the general meeting required in this matter? how can the cooperative recover the money that was allocated for fines imposed on the president and vice-president?,criminal law
82,whether the client's cousin's daughter was obliged to indicate other family members to the notary,civil law
83,Is it possible to divorce by agreement and how to achieve a divorce in the circumstances presented?,civil law
84,Can the client's wife resign from the right of perpetual usufruct of the access road to the garage?,civil law
85,what the client can do in the light of the judgment of the Court of Justice,other
86,how much lump sum can be taken for prescription drugs,pharmaceutical law
87,"who can report the possibility of committing a crime, bearing in mind that the crime could have been committed by the cooperative's management board",criminal law
88,Can a pharmacy sell OTC drugs to entities conducting commercial and service activities?,pharmaceutical law
89,"If the purchaser of the medicine is an association, is the pharmacy obliged to include the tax identification number on the receipt?",tax law
90,whether the client can provide the history of bank accounts of the housing community,administrative law
91,Is it possible to discuss the debt of individual members of the housing community at a meeting of the housing community using the name and surname of the indebted person?,civil law
92,"Can a nurse dissolve a drug on the ward, e.g. dissolve substances in a vial with water for injection or physiological saline and add them to a bag for intravenous infusion? Can a nurse perform the above activities also for cytostatic drugs?",pharmaceutical law
93,Can a pharmacy issue an invoice for filled prescriptions for a patient and over-the-counter drugs where the purchaser is the patient himself but the payer is a social welfare home or foundation?,tax law
94,Can the court release the client from medical confidentiality? Can an incapacitated person refuse to consent to being placed in a social welfare home or a nursing and care facility?,medical law
95,whether the administrator of the company's social benefits fund can co-finance all events despite the opposition of one of the organizations,labor law
96,"Can a pharmacist from a hospital pharmacy be delegated to a hospital ward to prepare drugs in daily doses, including cytostatic drugs?",pharmaceutical law
97,whether it is possible for the employer to change the designated work schedule,labor law
98,how the client should document sales exempt from VAT,tax law
99,what is the liability of a doctor employed in a medical entity under a civil law contract towards the patient?,medical law
100,Can a particularly protected member of the management board of a local trade union organization have his or her salary reduced due to the liquidation of the job and the transfer of the employee?,labor law
101,whether an employer can dismiss an employee receiving rehabilitation benefits if he is in the period of pre-retirement protection,labor law
102,Is it possible to purchase a pharmacy without any obligations? Is it possible to purchase medicines from another pharmacy?,pharmaceutical law
103,what the client can do in this case,criminal law
104,"whether, in the circumstances presented, the employer can force the client to terminate the employment relationship",labor law
105,whether the solution presented by the employer is consistent with the currently applicable legal order,labor law
106,Can a doctor running an individual medical practice employ a resident doctor to conduct specialization training? Can a doctor running an individual medical practice employ a nurse?,medical law
107,whether a client called as a witness as a doctor is exempt from medical confidentiality,other
108,Is it possible to sell a pharmacy run as a sole proprietorship and transfer the license to operate a pharmacy?,pharmaceutical law
109,"If a doctor writes a lower dose of a drug than the entire package contains, is it possible to dispense the entire package?",pharmaceutical law
110,"if the consent of a legal guardian is required for a consultation with a patient who is under 18 years of age, what is the risk to the doctor or medical entity if he or she provides a consultation despite the lack of consent? Does the underage patient who is under 18 years of age have the right to decide independently whether she consents to another person being present during the examination visit or a underage patient who is under 18 years of age has the right to effectively prevent the presence of a legal representative during the visit, or may the doctor refuse to provide information about the patient's health to her legal representatives, or the legal representative of a minor patient who is over 18 years old, may request participation in a gynecological consultation, or a medical entity by contacting the legal representative of a minor patient who is over the age of 14 in order to inform about the patient's visit to a doctor violates medical confidentiality or confidentiality resulting from the provisions on the protection of personal data, what consequences may the medical entity incur then?",administrative law
111,Can a client refuse to admit a patient because he or she has a claim and cannot reach an agreement with him or her?,medical law
112,what can a client do to be able to have access to his own plot?,civil law
113,whether a doctor running an individual medical practice can employ another doctor there,medical law
114,whether the current legal order provides for an upper limit on the amount due for reimbursement of travel costs to court,criminal law
115,whether the bailiff seized the appropriate amount of money,civil law
116,Can the employer limit the right to training leave?,labor law
117,"After adopting the resolution, will the housing association be able to adjust the advance payments for the costs of managing the common property from January of the beginning of the financial year?",civil law
118,"whether the client should prescribe a drug at the patient's request if, in the client's opinion, the drug's dose poses a threat to the patient's life and health",medical law
119,what legal remedies are available to the client if during bailiff enforcement it turns out that the debtor has no property what legal remedies are available to the client if during bailiff enforcement it turns out that the debtor has moved outside the country,criminal law
120,what legal basis allowing a physiotherapist to perform dry needling in a hospital should the client indicate to the employer,medical law
121,Is it possible to unilaterally shorten the notice period for an employment contract concluded for an indefinite period?,labor law
122,whether an accident at work occurred in the situation in question,labor law
123,whether the management board of a large housing community can request information about people who receive housing allowances from the municipal social welfare center,administrative law
124,whether the client should have a cash register and bill patients on her own,tax law
125,whether salary allowances can be included in the minimum wage of employees,labor law
126,what actions the client can take according to the actual situation,labor law
127,what are the limits for overtime work in the basic working time system,labor law
128,what can be done in the circumstances presented,administrative law
129,how the employer can enforce the refund of the advance payment,labor law
130,what should be done in the circumstances presented,medical law
131,what the client can do in the case according to the facts,criminal law
132,"what benefits does the employer receive and have from employing a person with a moderate degree of disability? is the party to the employment contract a civil partnership nova med, the names of the partners or the nova med medical clinic",labor law
133,Can the client bring a lawsuit against the grandmother who is demanding compulsory portion of her daughter for persistent neglect of family responsibilities?,civil law
134,what can be done to make the comment disappear from the customer's profile,criminal law
135,"If a share in real estate is given to a daughter as a gift, will this share be part of the parent's estate?",civil law
136,what legal steps the client can take,criminal law
137,Is it possible to fully refund costs due to withdrawal from the contract?,administrative law
138,"whether, in the event of a conviction for an offense under Article of the Penal Code, the client may lose the right to practice as a doctor",criminal law
139,Can enlarging balconies in a large housing community be financed from the funds collected in the renovation fund?,civil law
140,Can a resident be on duty independently? What is the liability of a resident doctor for a medical error while on duty?,medical law
141,whether documentation can be made available to the client during railway commission proceedings,administrative law
142,Is the client obliged to inform the employer about the intention to take up additional employment under a civil law mandate contract and obtain his consent?,labor law
143,Is it possible to stop the seizure of a bank account?,civil law
144,Can a client refuse to admit a patient because he or she cannot reach an agreement with his or her parents?,medical law
145,whether the employment contract was effectively terminated or whether sick leave affects the effectiveness of the notice,labor law
146,how the administrator of the housing community should behave in relation to the request of the management board of the housing community,civil law
147,"whether, in connection with the presented facts, the client's conduct was lawful whether the patient can take legal action against the client, if so, what",medical law
148,Can a client refuse to see a patient because he or she questions the client's treatment methods and cannot reach an agreement with him or her?,medical law
149,what legal steps the client can take,criminal law
150,whether the hospital's actions can be considered discrimination or whether the employer must notify the employee of the intention to dismiss,labor law
151,Will the customer be obliged to have a cash register?,tax law
152,what is the difference between knowledge about committing a prohibited act and reliable information on this subject? whether a psychologist is obliged to determine the age of the person with whom the teenager had sex; if the person with whom the teenager had sex is under one year of age; the psychologist is obliged to notify law enforcement authorities; or if the teenager wants to have an abortion illegally. the psychologist is obliged to notify law enforcement authorities,criminal law
153,how to properly make a loan to the company,civil law
154,what is the institution of a side intervener? Should the client join the process as a side intervener?,civil law
155,whether the client is obliged to provide medical records to the deceased patient's husband,medical law
156,whether the employer's action is consistent with the currently applicable legal order,labor law
157,whether the employer's action can be considered discrimination,labor law
158,what actions can be taken to force the owner or tenants of the premises to comply with the rules of quiet hours and social coexistence,criminal law
159,whether the client's wife is entitled to an allowance for working on Sundays or whether the client's wife is entitled to an allowance for working under the equivalent working time system,labor law
160,Is it possible to provide medical advice by telephone by a psychiatrist in the light of changes related to the coronavirus threat?,medical law
161,Can the client oblige his ex-wife to contribute to the costs of maintaining the apartment?,civil law
162,whether the client will be entitled to retirement severance pay upon termination of the employment relationship,labor law
163,whether the so-called leave of a doctor after duty is included in the working time of a resident doctor and is remuneration due for this time or is the above issue regulated in generally applicable regulations,medical law
164,"whether the clinics with which the client concludes a contract for the provision of medical services are obliged to provide medical equipment, drugs and appropriate staff, e.g. nurses, what are the rules for accepting registrations in primary health care facilities of patients with suspected coronavirus infection, can the client terminate the contracts for the provision of medical services if the above procedures are not followed? medical services",other
165,what should be done in the circumstances presented,medical law
166,what is the legal protection of a person on parental leave in the event of termination of business by the employer?,labor law
167,Can a doctor refuse to work in the absence of appropriate protective clothing and training in individual protection against coronavirus,medical law
168,whether the employer can demand from the employee information about his/her current additional employment in connection with the risk of the employee being infected with coronavirus at the place of additional employment,labor law
169,Can resident doctors request the PES state specialization examination?,medical law
170,how a management board member can rent his or her private car to a limited liability company,civil law
171,Can a doctor refuse to work in the absence of appropriate protective clothing and training in individual protection against coronavirus,labor law
172,Is setting the price of a pharmaceutical drug by a pharmacy by adding the VAT rate consistent with the applicable legal order?,pharmaceutical law
173,whether a doctor and a paramedic can refuse to work in the absence of appropriate protective clothing and training in individual protection against coronavirus,labor law
174,Does a contracted doctor have the right to refuse to provide medical services in the transformed ward due to the spread of the coronavirus?,medical law
175,whether a person suspected of coronavirus infection is obliged to be hospitalized until the results are obtained whether a person with confirmed coronavirus infection without symptoms is obliged to be hospitalized what consequences will the person suffer if there is an obligation to hospitalize and the patient does not consent what actions should the employer take if he received information that the doctor had fleeting contact infection not yet confirmed with a quarantined person,criminal law
176,"Due to the current epidemiological situation, can a doctor refuse to treat a patient if the treatment would endanger his or her own health? Can a doctor refuse to work if the internal procedures of the hospital are not sufficient to ensure the safety of doctors?",medical law
177,Is it possible to prevent an employee from working who has been indirectly in contact with a person infected with coronavirus?,medical law
178,Does the scope of civil liability insurance for pharmacists and other persons providing medical services include damage resulting from the transmission of the Sarscov virus? Can an employer force a doctor to provide scheduled services who refused to perform the procedure due to the epidemiological threat?,medical law
179,whether the employer has the right to compulsorily place the client on holiday leave at a date other than that specified in the holiday plan,labor law
180,"In the event of a global epidemiological threat, does the employer have the right to refuse remote work if a doctor requests it out of concern for the health of his patients?",medical law
181,Is remote work possible during quarantine? Can the employer refuse to allow an employee to work remotely during quarantine?,labor law
182,Can an employer oblige an employee to take annual leave within a specified period? Can an employer oblige an employee to take unpaid leave?,labor law
183,what the client can do in the presented situation,criminal law
184,whether current medical examinations entitling you to practice as a train driver can replace preliminary examinations,labor law
185,Can an employer oblige an employee to take annual leave within a specified period? Can an employer oblige an employee to take sick leave?,labor law
186,whether the former employer has the right to demand from the client the return of a certain amount resulting from the loyalty agreement,labor law
187,whether an employee who could not perform mandatory tests due to the threat of coronavirus should be released from work with the right to remuneration,labor law
188,how the customer can assert his rights in connection with the leak of personal data,administrative law
189,whether the bank should refund the client a proportional part of the loan commission costs,administrative law
190,what is the external internship referred to in the order? Does the client apply to the provisions on assignment to work to combat the epidemic,medical law
191,whether the employer has the right not to consent to the employee's unpaid leave,labor law
192,Can the client be referred by the voivode to another unit outside the place of internship? What will be the client's rights and obligations?,medical law
193,whether the bank should refund the client a proportional part of the mortgage loan commission costs,administrative law
194,"can the employer request information from the employee about his/her current additional employment in connection with the risk of employee coronavirus infection at the place of additional employment? Can the employer oblige the employee to sign a declaration in which the employee indicates his/her additional professional activities and undertakes not to perform them during the epidemic, which consequences threaten an employee who does not sign the declaration",labor law
195,whether the employee can continue working without valid periodic examinations,labor law
196,Can an employer prohibit medical employees from wearing face masks?,medical law
197,whether the client's children should now take steps to waive possible inheritance from the deceased testator,civil law
198,whether the client had grounds to refuse to provide health services to the entire family of the problematic patient,medical law
199,whether the employer can oblige the employee to use annual leave within a specified period,labor law
200,Can an employer oblige employees to take annual leave due to the so-called rotational work?,labor law
201,"Due to the current epidemiological situation, is it possible to delegate resident doctors to work in a place other than where they are employed? Does the hospital have the right to delegate a resident practicing the surgical specialization of neurosurgery despite the availability of residents of non-surgical specializations who are more prepared and qualified to secure the infectious disease ward? Does the hospital have the right to delegate a resident before the end of his specialization, thus exposing him to an extension of the training period without the possibility of completing it on time what obligations does the hospital have towards seconded doctors additional bonuses reimbursement of transport costs check-in food psychological assistance how is a doctor's liability for medical errors during secondment",criminal law
202,"Due to the current epidemiological situation, is it possible to delegate resident doctors to work in a place other than where they are employed? Will the doctor have the right to refuse to work if the hospital does not provide him with appropriate equipment and protective measures against the spreading Covid epidemic?",medical law
203,whether the client can work independently in the internal ward,medical law
204,whether the employer's conduct is legal,labor law
205,whether in the case in question the client has the right to resign with a refund from the office due to the epidemiological situation,administrative law
206,what are the requirements for trading cosmetics by pharmaceutical wholesalers what documents must a cosmetic or cosmetic product have in order to be traded,pharmaceutical law
207,whether the client will be entitled to remuneration for downtime during the current epidemic,labor law
208,whether the insurance company acted lawfully,pharmaceutical law
209,whether the customer is allowed to go to the bicycle shop whether the customer can go out for a run or ride a bike whether the regulations regarding the prohibition of movement are consistent with the constitution,other
210,"whether, due to lack of income, an adult person is exempt from the court or notary fee due to the willingness to submit a declaration of rejection of the inheritance, should the father be notified about the appointment of his adult children to the inheritance?",civil law
211,whether the client can be exempt from having to pay fees for the collection and disposal of medical waste for the period in which she will not produce it whether the client's assistant will be entitled to receive unemployment benefits during the contract termination period how to structure the termination of the contract concluded with the assistant so as not to jeopardize the need to pay severance pay or compensation,administrative law
212,what legal steps the client can take,criminal law
213,whether the president of the district medical chamber can perform the oath due to the introduced state of epidemic,medical law
214,"what is the issue of remuneration in the case of sending a nurse to work to combat an epidemic, whether the healthcare entity must conclude an employment contract with the client, whether currently employing entities will be obliged to grant the client unpaid leave",medical law
215,Can a client raising minor children be assigned to work in an infectious disease hospital due to the current state of the epidemic?,medical law
216,"whether, due to the coronavirus epidemic, the client can continue to provide physiotherapy services in patients' homes",medical law
217,Can an employer oblige a doctor to work only in one place?,labor law
218,whether the client can provide the patient's address details to the ombudsman for professional liability of nurses and midwives,medical law
219,Can a general pharmacy sell hygienic masks? Can a general pharmacy buy hygienic masks outside a pharmaceutical wholesaler?,pharmaceutical law
220,what is the procedure for a doctor to appeal against the decision to assign work to combat the epidemic,medical law
221,whether the client's internship period will be extended by the quarantine period whether the client will receive remuneration for the period when the medical entity remains closed how the client should behave whether the client should go on vacation or unpaid leave,medical law
222,whether the insurance company acted lawfully and whether the client can appeal against the insurance company's decision,civil law
223,"Can an employer order a doctor who has not signed the optout clause to work overtime per week without the employee's consent? In the case of full-time employees, the weekly hours limit is proportionally reduced",labor law
224,Is it possible to avoid making a declaration of will to consent to the termination of the employment relationship? Does the employment certificate include the reason for terminating the employment contract?,labor law
225,"what date the client should indicate in the notice of termination of the contract, whether the employer may not agree to pay the equivalent for unused leave, or if the employer did not agree to terminate the employment contract by mutual consent of the parties and pay the equivalent for the leave, can the client take up work during the notice period? with another employer",labor law
226,when the customer should receive a refund of the price paid,medical law
227,"Can the client's sons be appointed to inherit from their mother's cousin? Should the client's sons be notified of their inheritance? If so, how can an application for exemption from court fees be justified?",civil law
228,whether the employer had the opportunity to terminate the employment contract,labor law
229,"Due to the current epidemiological situation, is it possible to delegate resident doctors to work in a hospital transformed into an infectious diseases hospital?",medical law
230,Can a granddaughter be obliged to pay alimony to her grandmother? When should the inheritance be reported to the tax office? The inheritance includes real estate.,civil law
231,"whether the purchase of an Internet program used to conduct accounting for a community, concluding a contract for the provision of services with an accountant or purchasing an Internet domain constitute ordinary management activities",civil law
232,Can the client go to the plot with her partner?,medical law
233,whether the employer's position is correct,labor law
234,"what services can a physiotherapist provide during the state of epidemic, what sanction may he face for failure to comply with the restrictions caused by the introduction of the state of epidemic",medical law
235,whether the employer's proposal should be considered legal or whether the employer can transfer the client to another hospital ward,labor law
236,Is the pharmacist obliged to inform the patient about the expiry date of the drug?,pharmaceutical law
237,what is the consequence of not submitting a response to the appeal within the required deadline,civil law
238,whether the client can refuse the patient and not provide her with medical records,medical law
239,"Are there any regulations that regulate the effectiveness or form of implementing the solution of sending instructions to employees by e-mail, as described by the client?",labor law
240,"Is the standby benefit a one-off payment? If the mandate contract was transformed into an employment contract, would the client be entitled to the benefits referred to in the so-called anti-crisis shield intended for employees?",medical law
241,whether the employer could unilaterally change the working time system,labor law
242,Can an employer delegate a resident doctor to fight the coronavirus? How should the employer present the employee's obligations in connection with the delegation?,medical law
243,"can the client be appointed to combat the epidemic in a position other than a pediatrician, what are the consequences for the client if she does not appear at the place of referral, what are the rules for imposing a penalty for failing to appear at the place of referral, or if the hospital fails to provide the client with personal protective equipment can she refuse to work to combat the epidemic. Will the client's compulsory third party liability insurance be valid in the place where the client will be sent? What is the liability of a doctor assigned to work to combat the epidemic for possible medical errors? What are the rights arising from the employment relationship of a doctor assigned to combat the epidemic?",criminal law
244,Will a doctor have the right to refuse to resuscitate a patient if the employer does not provide him with appropriate equipment and protective measures in connection with the threat related to coronavirus?,medical law
245,"Can the client's father, an employee of the Sanitary and Epidemiological Station, be delegated to work on coronavirus-related tests? Does the fact that the client's father has been under the care of a doctor for several years affect the possibility of his delegation?",labor law
246,Can a doctor who has direct contact with another doctor who has been infected with coronavirus continue to work in the hospital or should he be sent to home quarantine?,medical law
247,can an employer oblige a doctor to work only in one place can an employee be liable for failure to comply with the director's order can the employer demand information in which places doctors work,labor law
248,whether the customer is entitled to a refund of the ticket price for a canceled flight instead of a voucher,administrative law
249,whether issuing a penalty notice was justified,criminal law
250,whether the sanitary inspection was obliged to issue a decision to quarantine the client,medical law
251,whether the client will be entitled to the so-called parking benefit,medical law
252,whether the employer is obliged to accept the employee's request for unpaid leave,labor law
253,"what is the legal situation of the client taking into account the presented facts? can the client be held liable if, due to the situation, she infects one of her patients with coronavirus",medical law
254,Is it possible for the client to be delegated to work in a newly established infectious disease ward?,labor law
